City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kirkwall,100,GB,1579910025,87,58.98,-2.96,44.6,16.11
lubao,90,PH,1579910025,83,14.92,120.55,77.0,2.24
zelenoborskiy,97,RU,1579910025,96,66.84,32.36,9.88,5.1
sovetskiy,56,RU,1579910025,93,61.36,63.58,0.52,3.29
fairbanks,75,US,1579910026,70,64.84,-147.72,1.4,8.05
paamiut,100,GL,1579909447,74,61.99,-49.67,15.39,20.33
skjervoy,100,NO,1579910026,77,70.03,20.97,32.18,15.9
ishinomaki,75,JP,1579910026,47,38.42,141.3,35.6,6.93
kondagaon,89,IN,1579910026,66,19.6,81.67,57.9,1.41
maraba,100,BR,1579909769,94,-5.37,-49.12,80.6,1.25
vaitape,3,PF,1579910027,78,-16.52,-151.75,82.33,13.11
maine-soroa,0,NE,1579910027,26,13.21,12.02,61.43,11.88
inuvik,90,CA,1579910027,76,68.35,-133.72,-4.0,10.29
ixtapa,90,MX,1579909892,69,20.7,-105.2,78.8,11.41
dongying,89,CN,1579910027,56,37.46,118.49,31.77,2.86
san fernando,90,PH,1579910028,83,15.03,120.69,77.0,2.24
cheyenne,1,US,1579909955,48,41.14,-104.82,44.6,10.29
tazovskiy,97,RU,1579910028,95,67.47,78.7,4.86,3.22
lagoa,100,PT,1579910028,80,39.05,-27.98,60.31,16.91
bonfim,62,BR,1579910028,39,3.08,-59.95,86.67,6.89
guarapari,75,BR,1579910028,88,-20.67,-40.5,78.01,16.11
kindu,98,CD,1579910029,65,-2.95,25.95,69.26,2.08
wau,13,SS,1579910029,13,7.7,28.0,65.35,6.71
tuatapere,99,NZ,1579910029,72,-46.13,167.68,64.99,8.01
vardo,75,NO,1579909548,78,70.37,31.11,15.8,5.82
granadilla de abona,8,ES,1579910029,63,28.12,-16.58,62.01,8.05
pitimbu,75,BR,1579910029,83,-7.47,-34.81,80.6,5.82
doha,0,QA,1579909984,67,25.29,51.53,59.0,6.93
uthal,0,PK,1579910030,50,25.81,66.62,64.24,2.89
caxito,100,AO,1579910030,80,-8.58,13.66,78.78,4.38
bundaberg,100,AU,1579910030,65,-24.85,152.35,86.0,6.93
lagdo,14,CM,1579910030,14,9.05,13.73,65.5,4.5
ambon,20,ID,1579910031,66,-3.7,128.18,84.2,3.36
olga,0,RU,1579910031,60,43.74,135.29,16.25,8.05
salinopolis,95,BR,1579910031,81,-0.61,-47.36,83.03,14.9
hare bay,20,CA,1579910031,61,48.85,-54.01,12.2,13.87
hay river,75,CA,1579910032,78,60.82,-115.8,8.6,6.93
buchanan,20,LR,1579910032,94,5.88,-10.05,76.42,0.87
djenne,68,ML,1579910032,8,13.91,-4.55,77.22,11.7
port pirie,0,AU,1579910032,64,-33.18,138.02,69.8,9.17
pimentel,88,PE,1579910032,29,-6.84,-79.93,66.2,16.11
viborg,87,DK,1579910032,93,56.45,9.4,42.01,9.17
fort-shevchenko,27,KZ,1579910033,59,44.51,50.26,26.73,8.77
matara,34,LK,1579910033,86,5.95,80.54,72.45,7.54
baykit,100,RU,1579910033,96,61.67,96.37,12.85,3.94
aklavik,90,CA,1579910033,83,68.22,-135.01,-4.0,12.75
praia,15,CV,1579909596,53,14.92,-23.51,75.2,20.8
port hedland,0,AU,1579910034,70,-20.32,118.57,87.8,5.82
marsh harbour,99,BS,1579910034,66,26.54,-77.06,71.82,9.75
guozhen,98,CN,1579910034,96,34.37,107.36,30.76,0.98
escanaba,90,US,1579910034,100,45.75,-87.06,34.0,10.29
ancud,90,CL,1579910034,72,-41.87,-73.82,60.8,10.29
coihaique,75,CL,1579909442,55,-45.58,-72.07,64.4,9.17
tres arroyos,40,AR,1579910034,49,-38.37,-60.28,63.72,5.64
fuengirola,75,ES,1579910035,93,36.54,-4.62,53.6,5.82
okato,21,NZ,1579910035,85,-39.2,173.88,72.0,5.99
handan,91,CN,1579910035,55,36.6,114.47,32.32,2.91
wuwei,4,CN,1579910035,67,37.93,102.64,16.86,1.34
craigieburn,20,AU,1579909848,49,-37.6,144.95,77.0,4.7
sarkhej,0,IN,1579910036,76,22.98,72.5,55.4,6.02
oranjestad,20,AW,1579910036,69,12.52,-70.03,80.6,10.29
bandarbeyla,100,SO,1579910036,83,9.49,50.81,78.75,21.47
tezu,21,IN,1579909813,69,27.92,96.17,47.53,2.8
ulaanbaatar,0,MN,1579910036,68,47.91,106.88,-20.2,2.24
saint-louis,21,SN,1579910036,26,16.33,-15.0,84.2,2.24
natividade,100,BR,1579910037,99,-21.04,-41.97,69.94,4.27
morlaix,90,FR,1579910037,93,48.58,-4.0,43.0,3.36
vostok,79,RU,1579910037,96,46.49,135.88,-11.92,5.39
vanino,100,RU,1579910037,65,49.09,140.25,0.37,17.92
umiray,94,PH,1579910038,95,15.22,121.41,72.34,13.15
ugoofaaru,83,MV,1579910038,79,5.67,73.0,82.27,16.96
takoradi,37,GH,1579910038,88,4.88,-1.76,78.19,2.8
dehloran,31,IR,1579910038,66,32.69,47.27,50.13,12.97
mirebalais,20,HT,1579910038,69,18.83,-72.11,78.8,8.05
leningradskiy,1,RU,1579910038,75,69.38,178.42,-23.19,1.5
opuwo,2,NA,1579910038,44,-18.06,13.84,68.79,4.18
basco,88,PH,1579910039,77,20.45,121.97,76.57,21.56
sarkand,100,KZ,1579910039,57,45.41,79.92,29.5,2.44
preobrazheniye,0,RU,1579910039,40,42.9,133.91,10.62,4.07
vieste,40,IT,1579910039,87,41.88,16.18,46.99,1.12
strezhevoy,90,RU,1579910039,85,60.73,77.59,15.8,8.95
kieta,17,PG,1579910040,67,-6.22,155.63,85.1,4.36
novosokolniki,66,RU,1579910040,88,56.35,30.16,35.28,10.0
corbelia,0,BR,1579910040,57,-24.8,-53.31,77.0,5.82
nyurba,100,RU,1579910040,96,63.28,118.33,-24.45,6.58
okhotsk,0,RU,1579910040,71,59.38,143.3,-24.81,11.14
hareid,100,NO,1579910041,60,62.37,6.03,41.0,11.41
soddy-daisy,90,US,1579910041,61,35.24,-85.19,50.0,3.36
lypnyazhka,77,UA,1579910041,66,48.45,31.08,29.88,8.21
magadan,29,RU,1579910042,76,59.57,150.8,-16.6,11.68
swan hill,23,AU,1579910042,41,-35.34,143.55,78.01,5.99
kavieng,43,PG,1579910042,68,-2.57,150.8,82.69,4.88
sibu,75,MY,1579910042,94,2.3,111.82,75.2,2.24
broome,1,US,1579909388,41,42.25,-75.83,42.8,9.17
vila velha,75,BR,1579909756,88,-20.33,-40.29,78.01,16.11
lishui,100,CN,1579910043,97,28.46,119.91,44.31,4.09
marquette,90,US,1579910043,98,46.53,-87.63,33.01,6.93
cocal,22,BR,1579910043,98,-28.62,-49.35,60.6,2.13
sabang,13,ID,1579910043,74,5.89,95.32,82.47,17.6
vagur,100,FO,1579910043,89,61.47,-6.81,47.35,26.66
roald,100,NO,1579910044,60,62.58,6.13,41.0,11.41
gorontalo,42,ID,1579910044,71,0.54,123.06,80.73,2.1
oxapampa,99,PE,1579910044,99,-10.58,-75.4,57.9,1.28
estelle,1,US,1579910044,62,29.85,-90.11,62.6,6.93
visby,42,SE,1579910044,80,57.64,18.3,42.01,16.11
ito,40,JP,1579910044,64,34.97,139.08,50.0,17.22
dewa,18,IN,1579910045,100,27.03,81.17,46.4,2.26
north bend,40,US,1579910045,87,43.41,-124.22,57.0,12.75
gebre guracha,100,ET,1579910045,65,9.8,38.4,60.3,2.08
aljezur,100,PT,1579910045,94,37.32,-8.8,54.0,6.22
goderich,100,CA,1579909954,82,43.75,-81.72,36.0,21.0
jurm,100,AF,1579910048,68,36.86,70.83,15.78,4.59
kavaratti,83,IN,1579910048,76,10.57,72.64,81.12,8.14
asyut,0,EG,1579910048,70,27.18,31.18,46.4,8.05
butembo,83,CD,1579910049,48,0.15,29.28,65.59,3.89
korla,92,CN,1579910049,83,41.76,86.15,12.24,3.18
zeya,65,RU,1579910049,85,53.75,127.27,-24.16,4.09
haines junction,100,CA,1579910049,98,60.75,-137.51,-4.88,5.03
pinawa,83,CA,1579910049,96,50.15,-95.88,13.71,1.68
raton,1,US,1579909588,36,36.9,-104.44,53.6,9.17
vanavara,97,RU,1579910049,96,60.34,102.28,16.03,5.68
ust-kulom,76,RU,1579910050,99,61.69,53.69,-1.44,3.85
mecca,0,SA,1579909503,60,21.43,39.83,56.7,4.45
pangnirtung,20,CA,1579910050,66,66.15,-65.71,-29.2,2.06
dunnville,90,CA,1579910050,100,42.9,-79.62,44.01,17.22
vagay,85,RU,1579910051,98,57.94,69.02,0.43,5.28
discovery bay,1,US,1579910051,68,37.91,-121.6,66.99,5.82
meridian,75,US,1579910051,100,43.61,-116.39,48.2,6.93
taunggyi,50,MM,1579910051,80,20.78,97.03,46.17,0.58
redlands,1,US,1579909795,39,34.06,-117.18,78.8,5.82
hovd,35,MN,1579910052,66,48.01,91.64,-0.18,1.16
bartica,20,GY,1579910052,88,6.4,-58.62,77.0,6.93
trofors,100,NO,1579910052,64,65.53,13.41,35.6,10.29
seryshevo,0,RU,1579910052,87,51.09,128.38,-17.46,5.17
saint-joseph,100,RE,1579910053,100,-21.37,55.62,78.8,24.16
dunedin,90,NZ,1579909753,93,-45.87,170.5,58.68,18.39
kalmunai,99,LK,1579910053,74,7.42,81.82,80.91,16.35
dudinka,40,RU,1579910053,78,69.41,86.18,8.6,20.13
mugumu,100,TZ,1579910054,76,-1.85,34.7,65.91,3.31
